종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
299170,더블유에스아이,"5,070","-310","5.76","5,070","5,010","398,584","2,022,405,970","5,360","5,360","4,970","100",원(KRW),"28,357,963","143,774,872,410",
035290,더블유에프엠,"11,750","0","0.00","0","0","0","0","0","0","0","500",원(KRW),"2,570,137","30,199,109,750",
213420,덕산네오룩스,"29,750","-500","1.65","29,800","29,750","125,505","3,748,527,350","30,250","30,300","29,750","200",원(KRW),"24,010,012","714,297,857,000",
317330,덕산테코피아,"15,550","-250","1.58","15,600","15,550","51,488","804,716,350","15,750","15,750","15,500","500",원(KRW),"18,377,428","285,769,005,400",
077360,덕산하이메탈,"7,670","-210","2.66","7,680","7,670","86,260","666,244,330","7,910","7,910","7,670","200",원(KRW),"22,718,501","174,250,902,670",
090410,덕신하우징,"1,570","0","0.00","1,570","1,565","669,297","1,048,468,095","1,595","1,595","1,540","100",원(KRW),"46,084,095","72,352,029,150",
263600,덕우전자,"7,240","-70","0.96","7,250","7,240","238,917","1,738,319,690","7,290","7,420","7,200","500",원(KRW),"15,930,310","115,335,444,400",
194480,데브시스터즈,"14,100","50","0.36","14,100","13,900","49,718","684,782,500","14,300","14,500","13,300","500",원(KRW),"11,204,370","157,981,617,000",
263800,데이타솔루션,"7,790","40","0.52","7,770","7,710","115,802","896,648,740","7,750","7,830","7,670","500",원(KRW),"15,828,580","123,304,638,200",
139050,데일리블록체인,"1,120","-55","4.68","1,125","1,120","1,356,514","1,535,563,445","1,165","1,175","1,110","500",원(KRW),"70,396,824","78,844,442,880",
206560,덱스터,"5,350","-230","4.12","5,370","5,350","314,575","1,702,312,360","5,550","5,550","5,340","500",원(KRW),"25,348,136","135,612,527,600",
261200,덴티스,"1,810","-40","2.16","1,810","1,805","912,205","1,651,287,100","1,830","1,845","1,795","100",원(KRW),"73,094,453","132,300,959,930",
067990,도이치모터스,"7,030","-10","0.14","7,030","7,020","137,889","961,444,660","7,050","7,050","6,910","500",원(KRW),"28,037,345","197,102,535,350",
006620,동구바이오제약,"24,750","-250","1.00","24,900","24,750","84,999","2,124,745,650","25,000","25,450","24,750","500",원(KRW),"9,604,000","237,699,000,000",
100130,동국S&C,"8,490","-30","0.35","8,490","8,470","894,329","7,584,931,030","8,470","8,600","8,320","500",원(KRW),"57,143,000","485,144,070,000",
005160,동국산업,"3,465","-65","1.84","3,475","3,465","87,208","304,725,495","3,530","3,540","3,465","1,000",원(KRW),"54,244,482","187,957,130,130",
075970,동국알앤에스,"3,270","-55","1.65","3,280","3,270","162,304","535,848,790","3,300","3,340","3,265","1,000",원(KRW),"18,400,000","60,168,000,000",
086450,동국제약,"26,800","300","1.13","26,850","26,800","374,539","10,068,735,700","26,550","27,250","26,200","500",원(KRW),"44,460,000","1,191,528,000,000",
