,광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수 계,인구수남자,인구수여자,소멸비율,소멸위기지역,ID,y,x,여성비율,2030 여성비율,고령자 비율
134,부산,서구,23642,11902,23618,100101,48104,51997,1.0078753493098485,0,부산 서구,19,9,51.94453601862119,50.34261060823957,23.594169888412704
135,부산,수영구,44258,22650,33380,164784,77880,86904,1.3571000599161174,0,부산 수영,20,11,52.738129915525775,51.17718830493922,20.256821050587437
136,부산,연제구,50757,25805,35307,197985,94732,103253,1.4617497946582831,0,부산 연제,17,11,52.151930701820845,50.840278188230194,17.833169179483292
137,부산,영도구,22954,10617,27636,109458,53656,55802,0.7683456361267912,1,부산 영도,20,10,50.98028467540061,46.253376317853096,25.24804034424163
138,부산,중구,9289,4458,9567,38566,18759,19807,0.9319535904672311,1,부산 중구,18,11,51.358709744334384,47.9922488965443,24.806824664211998
139,부산,해운대구,88245,45139,61986,379986,181834,198152,1.4564256445003712,0,부산 해운대,17,12,52.14718436995047,51.15190662360474,16.312706257598965
140,서울,강남구,140926,76930,65713,493492,234001,259491,2.3413936359624428,0,서울 강남,8,6,52.58261532101838,54.58893319898387,13.315920014914123
141,서울,강동구,114312,58315,59133,403443,196902,206541,1.9723335531767372,0,서울 강동,5,8,51.194592544671735,51.01389180488488,14.657089105524202
142,서울,강북구,78369,39639,56516,294143,141759,152384,1.4027532026328828,0,서울 강북,3,5,51.80609431467007,50.57994870420702,19.21378377183887
143,서울,강서구,177038,92400,79180,559359,268057,291302,2.3339227077544833,0,서울 강서,6,4,52.077824795882435,52.192184728702316,14.155488693307875
144,서울,관악구,186005,91377,70663,472796,234870,237926,2.586275702984589,0,서울 관악,7,5,50.32318378328073,49.126098760786,14.945769422753152
145,서울,광진구,113351,59479,44612,331747,159187,172560,2.666502286380346,0,서울 광진,6,7,52.01554196420767,52.47329092817884,13.447597114668708
146,서울,구로구,112888,57708,61715,386239,188979,197260,1.8701450214696589,0,서울 구로,9,4,51.072004639614335,51.11969385585713,15.978448577176307
147,서울,금천구,67481,32331,34691,219896,110152,109744,1.8639416563373785,0,서울 금천,8,5,49.90722887183032,47.91126391132319,15.776094153599885
148,서울,노원구,131084,66657,76136,504967,241951,263016,1.7509982137228117,0,서울 노원,2,6,52.08577986284252,50.850599615513715,15.077420900771735
149,서울,도봉구,81619,41366,55474,315032,152106,162926,1.4913653242960667,0,서울 도봉,2,5,51.71728586302344,50.681826535488064,17.60900479951243
150,서울,동대문구,103780,51838,54777,327897,160582,167315,1.8926921883272176,0,서울 동대문,4,7,51.02669435828934,49.94989400655232,16.705550828461377
151,서울,동작구,123540,63236,58255,374478,180291,194187,2.1710067805338595,0,서울 동작,6,5,51.855382692708254,51.186660191031244,15.556321065589968
152,서울,마포구,118571,64500,47926,348755,163126,185629,2.6916496265075325,0,서울 마포,5,5,53.22619030551533,54.39778697995295,13.742025203939729
153,서울,서대문구,90833,47970,47748,291958,137971,153987,2.009298818798693,0,서울 서대문,4,5,52.74286027442303,52.81120297689166,16.35440714075312
154,서울,서초구,108033,58717,52440,391520,185921,205599,2.239397406559878,0,서울 서초,7,6,52.513026154474865,54.35098534706988,13.393951777686963
155,서울,성동구,91871,47313,40757,283330,137125,146205,2.3217116078219693,0,서울 성동,5,7,51.602371792609325,51.49938500723841,14.38499276462076
156,서울,성북구,123727,64579,65389,418403,200642,217761,1.975225190781324,0,서울 성북,3,6,52.04575493005548,52.19475134772523,15.62823402317861
157,서울,송파구,190322,101198,81962,629275,301491,327784,2.469388253092897,0,서울 송파,6,8,52.08915021254619,53.1719927281134,13.024830161694013
158,서울,양천구,108836,56142,57720,429819,208741,221078,1.9453222453222454,0,서울 양천,7,4,51.43513897710431,51.58403469440259,13.428908447509299
159,서울,영등포구,113318,58287,52455,341509,167114,174395,2.222362024592508,0,서울 영등포,8,4,51.066004117021805,51.43666496055349,15.359770899156391
160,서울,용산구,64265,33888,32923,204196,97390,106806,2.0586216322935336,0,서울 용산,6,6,52.30562792611021,52.73165797868202,16.12323453936414
161,서울,은평구,124564,65072,74710,447693,213158,234535,1.741989024227011,0,서울 은평,5,4,52.38746194378737,52.239812465880995,16.68777488144778
162,서울,종로구,40758,20957,23700,136649,65594,71055,1.7685232067510548,0,서울 종로,4,6,51.998185131248675,51.418126502772466,17.343705405820753
163,서울,중구,37325,19327,19765,115665,55820,59845,1.955679230963825,0,서울 중구,5,6,51.7399386158302,51.7803081044876,17.0881424804392
164,서울,중랑구,108476,54584,61294,374640,183357,191283,1.781055241948641,0,서울 중랑,4,8,51.05781550288276,50.31896456359011,16.36077300875507
165,세종,세종시,93067,47728,29227,321495,159457,162038,3.2660211448318335,0,세종,13,4,50.401405931663014,51.28348394167642,9.090965644877837
166,울산,남구,82578,38741,34419,307294,155232,152062,2.251140358522909,0,울산 남구,15,12,49.48420730635808,46.9144324154133,11.200674272846198
167,울산,동구,39771,18492,17097,151207,77870,73337,2.1631865239515706,0,울산 동구,14,12,48.5010614587949,46.49619069171004,11.307016209567017
168,울산,북구,57905,28030,15219,205269,104664,100605,3.683553452920691,0,울산 북구,13,12,49.01129737076714,48.40687332700112,7.414173596597635
169,울산,울주군,48404,22638,27838,207367,105698,101669,1.626409943243049,0,울산 울주,14,11,49.028533951882416,46.76886207751426,13.42450823901585
170,울산,중구,52459,24879,29334,212450,106869,105581,1.6962569032521988,0,울산 중구,15,11,49.69686985172982,47.42560857050268,13.807484113909155
171,인천,강화군,9079,4265,19402,60622,30141,30481,0.4396453973817132,1,인천 강화,5,1,50.280426247896806,46.97653926643903,32.00488271584573
172,인천,계양구,79401,39652,32634,288422,141983,146439,2.4301035729607157,0,인천 계양,7,2,50.772479214484335,49.938917645873474,11.314670864219789
173,인천,남동구,139243,69710,62739,508503,250015,258488,2.2222222222222223,0,인천 남동,10,2,50.83313176126788,50.06355795264395,12.337980306900844
174,인천,동구,13526,6549,12858,60791,30224,30567,1.0186654223051796,0,인천 동구,6,2,50.28211412873617,48.41786189560846,21.151157243670937
175,인천,미추홀구,110480,52588,62042,391216,195241,195975,1.695238709261468,0,인천 미추홀,9,2,50.09381006911783,47.599565532223025,15.858758332992515
176,인천,부평구,136229,68137,65451,487471,238604,248867,2.0820766680417413,0,인천 부평,8,2,51.05267800546084,50.016516307100545,13.426644867079274
177,인천,서구,144517,72497,49718,515884,257587,258297,2.9163280904300253,0,인천 서구,6,1,50.06881391940824,50.16503248752742,9.637437873630505
178,인천,연수구,95482,48745,32424,345349,170243,175106,3.0067234147545028,0,인천 연수,10,1,50.70407037518569,51.05150709034163,9.38876325108803
179,인천,옹진군,3675,1291,4623,17746,9801,7945,0.5585117888816785,1,인천 옹진,10,0,44.77065254141778,35.12925170068027,26.05094105713964
180,인천,중구,35567,17264,17176,123549,63147,60402,2.0102468560782487,0,인천 중구,9,1,48.8891047276789,48.539376388225044,13.90217646439874
181,전남,강진군,4568,2263,10775,30984,14729,16255,0.42004640371229696,1,강진,24,1,52.462561321972636,49.54028021015762,34.776013426284536
182,전남,고흥군,6823,3131,23336,57330,27685,29645,0.26834076105587934,1,고흥,22,5,51.70940170940172,45.888905173677266,40.704692133263556
183,전남,곡성군,3932,1773,9129,25420,12377,13043,0.38843246795925074,1,곡성,21,3,51.30999213217938,45.09155645981689,35.91266719118804
184,전남,광양시,32494,15237,17573,136701,69766,66935,1.7341375974506346,0,광양,21,5,48.9645284233473,46.8917338585585,12.855063240210384
185,전남,구례군,3138,1529,7798,22648,10860,11788,0.39215183380353935,1,구례,20,4,52.04874602613917,48.725302740599105,34.43129636170965
186,전남,나주시,24039,11951,22275,102246,50367,51879,1.0730415263748596,0,나주,22,1,50.739393228096944,49.71504638296102,21.785693327856347
187,전남,담양군,6745,3210,12503,39391,19376,20015,0.5134767655762617,1,담양,20,2,50.81109898200097,47.59080800593032,31.740752963874996
188,전남,목포시,50155,24700,34227,217091,107238,109853,1.4433049931340753,0,목포,22,0,50.602281992344224,49.247333266872694,15.766199427889688
189,전남,무안군,16346,7887,14833,73190,36499,36691,1.0634396278568057,0,무안,21,1,50.13116545976226,48.25033647375505,20.2664298401421
